# PF  ─ 行:转速(rpm), 列:扭矩(Nm), Thet=45°
,0,41,82,122,163,204,245,286,327,367
500,0.0,0.5289339153715058,0.4292685302090993,0.37262055880496014,0.33233204082518314,0.3031120364636825,0.2785135601278722,0.2570203322065258,0.23786993701086973,0.22048974500411506
1333,0.0,0.5288963530028707,0.42926006172625797,0.37261478291442135,0.3323278599229642,0.3031079428851814,0.2785095113461492,0.25701574649668085,0.23786613646295227,
2167,0.0,0.5288886777308843,0.42925837698592806,0.3726136880782844,0.3323271283527058,0.3031072439308984,0.27850893043510466,0.2570149551896174,0.23786548682123265,
3000,0.0,0.5289328372764134,0.4292682707676849,0.37262027176073664,,,,,,
3833,,,,,,,,,,
4667,,,,,,,,,,
5500,,,,,,,,,,
6333,,,,,,,,,,
7167,,,,,,,,,,
8000,,,,,,,,,,
